Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Lname,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode
PAYMENT,4,2,41.74,86.97,Late delivery,1,46,Indoor/Outdoor Games,New York,EE. UU.,Melissa,935,Sharp,Corporate,NY,1102 Pleasant Maze,10029.0,7,Fan Shop,40.64618683,-73.94862366,Europe,London,Reino Unido,935,12.99,0.13,49.98,0.48,2,99.96,86.97,41.74,Northern Europe,Inglaterra,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Second Class
DEBIT,2,4,14.85,197.99,Advance shipping,0,48,Water Sports,Caguas,Puerto Rico,Mary,11952,Smith,Consumer,PR,6476 Blue Fawn Bay,725.0,7,Fan Shop,18.20906258,-66.37060547,Europe,Apeldoorn,Países Bajos,11952,2.0,0.01,199.99,0.08,1,199.99,197.99,14.85,Western Europe,Güeldres,COMPLETE,Pelican Sunstream 100 Kayak,199.99,Standard Class
CASH,5,4,31.66,109.18,Late delivery,1,17,Cleats,Fullerton,EE. UU.,Mary,10087,Myers,Corporate,CA,9397 Little Goose Subdivision,92833.0,4,Apparel,33.86329651,-117.9716263,USCA,Seattle,Estados Unidos,10087,10.8,0.09,59.99,0.29,2,119.98,109.18,31.66,West of USA ,Washington,CLOSED,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
TRANSFER,5,4,-209.97,299.95,Late delivery,1,17,Cleats,Caguas,Puerto Rico,Samuel,6179,Henderson,Corporate,PR,5010 Dusty Gate,725.0,4,Apparel,18.227314,-66.37051392,USCA,Columbus,Estados Unidos,6179,0.0,0.0,59.99,-0.7,5,299.95,299.95,-209.97,South of  USA ,Georgia,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
DEBIT,2,4,20.59,79.18,Advance shipping,0,29,Shop By Sport,Bronx,EE. UU.,Christine,12168,Guerra,Corporate,NY,6889 Merry Autumn Maze,10463.0,5,Golf,40.87593079,-73.91262817,Europe,Amberes,Bélgica,12168,0.8,0.01,39.99,0.26,2,79.98,79.18,20.59,Western Europe,Amberes,COMPLETE,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class
DEBIT,5,2,47.99,159.95,Late delivery,1,37,Electronics,Caguas,Puerto Rico,Mary,2634,Smith,Corporate,PR,417 Hidden Rabbit Crossing,725.0,6,Outdoors,18.21146965,-66.37054443,Pacific Asia,Jinjiang,China,2634,0.0,0.0,31.99,0.3,5,159.95,159.95,47.99,Eastern Asia,Fujian,COMPLETE,Bridgestone e6 Straight Distance NFL Carolina,31.99,Second Class
TRANSFER,6,2,20.08,40.98,Late delivery,1,46,Indoor/Outdoor Games,Rio Grande,Puerto Rico,Sean,1377,Smith,Corporate,PR,9036 Easy Embers Point,745.0,7,Fan Shop,37.58076477,-77.58818054,LATAM,Nicoya,Costa Rica,1377,9.0,0.18,49.98,0.49,1,49.98,40.98,20.08,Central America,Guanacaste,PROCESSING,O'Brien Men's Neoprene Life Vest,49.98,Second Class
CASH,5,2,30.13,83.0,Late delivery,1,24,Women's Apparel,Caguas,Puerto Rico,Charles,9957,Bennett,Consumer,PR,1082 Clear Rise,725.0,5,Golf,18.25048065,-66.37051392,Pacific Asia,Changshu,China,9957,17.0,0.17,50.0,0.36,2,100.0,83.0,30.13,Eastern Asia,Jiangsu,CLOSED,Nike Men's Dri-FIT Victory Golf Polo,50.0,Second Class
TRANSFER,3,4,64.68,184.79,Advance shipping,0,31,Women's Golf Clubs,Caguas,Puerto Rico,Julia,9720,Berry,Home Office,PR,7947 Sunny Pathway,725.0,6,Outdoors,18.28323174,-66.37059021,Europe,Sunderland,Reino Unido,9720,25.2,0.12,209.99,0.35,1,209.99,184.79,64.68,Northern Europe,Inglaterra,PROCESSING,Cleveland Golf Collegiate My Custom Wedge 588,209.99,Standard Class
PAYMENT,2,1,14.31,31.8,Late delivery,1,75,Video Games,Caguas,Puerto Rico,Madonna,20029,Hatfield,Consumer,PR,3810 Crystal Plaza,725.0,9,Discs Shop,18.24664497,-66.03705597,Pacific Asia,Tegal,Indonesia,20029,7.95,0.2,39.75,0.45,1,39.75,31.8,14.31,Southeast Asia,Java Central,PENDING_PAYMENT,Fighting video games,39.75,First Class
DEBIT,6,2,36.18,139.16,Late delivery,1,37,Electronics,Morganton,EE. UU.,Mary,5945,Young,Consumer,NC,4208 Harvest Grounds,28655.0,6,Outdoors,35.74468994,-81.68730164,Europe,Paris,Francia,5945,20.79,0.13,31.99,0.26,5,159.95,139.16,36.18,Western Europe,Isla de Francia,COMPLETE,Bridgestone e6 Straight Distance NFL San Dieg,31.99,Second Class
PAYMENT,4,4,24.99,249.9,Shipping on time,0,46,Indoor/Outdoor Games,Caguas,Puerto Rico,Joseph,1951,Hutchinson,Consumer,PR,4742 Gentle Beach,725.0,7,Fan Shop,18.27943611,-66.37055969,Pacific Asia,Izmir,Turquía,1951,0.0,0.0,49.98,0.1,5,249.9,249.9,24.99,West Asia,Izmir,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
PAYMENT,6,4,-699.97,399.98,Late delivery,1,45,Fishing,Brooklyn,EE. UU.,Mary,3925,Hicks,Home Office,NY,8617 Cinder Mountain Forest,11219.0,7,Fan Shop,40.63466263,-73.99480438,LATAM,Monterrey,México,3925,0.0,0.0,399.98,-1.75,1,399.98,399.98,-699.97,Central America,Nuevo León,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class
TRANSFER,4,4,12.55,199.17,Shipping on time,0,17,Cleats,Caguas,Puerto Rico,Charles,1822,Smith,Home Office,PR,4806 Middle Canyon,725.0,4,Apparel,18.27599907,-66.37050629,Europe,Bilbao,España,1822,40.79,0.17,59.99,0.06,4,239.96,199.17,12.55,Southern Europe,País Vasco,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
TRANSFER,4,4,12.45,165.99,Shipping on time,0,48,Water Sports,Los Angeles,EE. UU.,Mary,10769,Edwards,Consumer,CA,8824 Jagged By-pass,90026.0,7,Fan Shop,34.08672333,-118.2597885,Europe,Elx,España,10769,34.0,0.17,199.99,0.08,1,199.99,165.99,12.45,Southern Europe,Valenciana,PROCESSING,Pelican Sunstream 100 Kayak,199.99,Standard Class
TRANSFER,2,4,9.41,33.59,Advance shipping,0,29,Shop By Sport,Victorville,EE. UU.,Mary,7166,Smith,Home Office,CA,6943 Tawny Log Road,92392.0,5,Golf,34.50935745,-117.3302917,Europe,Almelo,Países Bajos,7166,6.4,0.16,39.99,0.28,1,39.99,33.59,9.41,Western Europe,Overijssel,PROCESSING,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class
DEBIT,6,2,20.79,189.0,Late delivery,1,24,Women's Apparel,Long Beach,EE. UU.,Mary,1426,Conner,Consumer,CA,6496 Gentle Barn Lookout,90813.0,5,Golf,33.87186432,-118.2019653,Africa,Rabat,Marruecos,1426,11.0,0.06,50.0,0.11,4,200.0,189.0,20.79,North Africa,Rabat-Salé-Zemur-Zaer,ON_HOLD,Nike Men's Dri-FIT Victory Golf Polo,50.0,Second Class
TRANSFER,2,1,60.82,179.93,Shipping canceled,0,46,Indoor/Outdoor Games,Brownsville,EE. UU.,Roy,9963,Merritt,Consumer,TX,3278 Misty Port,78521.0,7,Fan Shop,25.87951469,-97.40779877,LATAM,Mexico City,México,9963,19.99,0.1,49.98,0.34,4,199.92,179.93,60.82,Central America,Distrito Federal,SUSPECTED_FRAUD,O'Brien Men's Neoprene Life Vest,49.98,First Class
DEBIT,2,4,114.38,278.98,Advance shipping,0,43,Camping & Hiking,Honolulu,EE. UU.,Ralph,9950,Pena,Home Office,HI,6001 Middle Island,96817.0,7,Fan Shop,21.32080078,-157.8613892,Europe,Manchester,Reino Unido,9950,21.0,0.07,299.98,0.41,1,299.98,278.98,114.38,Northern Europe,Inglaterra,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class
PAYMENT,2,1,13.1,28.48,Late delivery,1,36,Golf Balls,Vega Baja,Puerto Rico,Mary,6008,Cervantes,Consumer,PR,3719 Burning Edge,693.0,6,Outdoors,18.44484711,-66.38641357,USCA,Arlington,Estados Unidos,6008,1.5,0.05,14.99,0.46,2,29.98,28.48,13.1,US Center ,Texas,PENDING_PAYMENT,Hirzl Women's Hybrid Golf Glove,14.99,First Class
DEBIT,2,1,-171.59,114.39,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,Harry,463,Smith,Corporate,PR,7598 Little Maze,725.0,4,Apparel,18.22563362,-66.04745483,LATAM,Uberlândia,Brasil,463,15.6,0.12,129.99,-1.5,1,129.99,114.39,-171.59,South America,Minas Gerais,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,First Class
TRANSFER,6,4,-435.15,255.97,Shipping canceled,0,31,Women's Golf Clubs,Chicago,EE. UU.,Lauren,6081,Bennett,Corporate,IL,9133 Cotton Robin Vale,60623.0,6,Outdoors,41.85883331,-87.71582031,Europe,Flensburg,Alemania,6081,63.99,0.2,79.99,-1.7,4,319.96,255.97,-435.15,Western Europe,Schleswig-Holstein,SUSPECTED_FRAUD,MDGolf Pittsburgh Penguins Putter,79.99,Standard Class
PAYMENT,2,4,141.11,335.98,Advance shipping,0,45,Fishing,Bayamon,Puerto Rico,Mary,9605,Smith,Corporate,PR,7811 Quiet Goose Autoroute,957.0,7,Fan Shop,18.38011932,-66.18312836,USCA,Dallas,Estados Unidos,9605,64.0,0.16,399.98,0.42,1,399.98,335.98,141.11,US Center ,Texas,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class
PAYMENT,6,2,78.9,164.38,Late delivery,1,67,DVDs,Los Angeles,EE. UU.,Xaviera,18558,Cherry,Corporate,CA,7312 Crystal Willow Villas,90023.0,9,Discs Shop,34.20339966,-118.6059036,Pacific Asia,Korba,India,18558,0.0,0.0,164.38,0.48,1,164.38,164.38,78.9,South Asia,Chhattisgarh,PENDING_PAYMENT,DVDs ,164.38,Second Class
CASH,2,1,-460.92,173.93,Late delivery,1,46,Indoor/Outdoor Games,Washington,EE. UU.,Nathan,10001,Smith,Corporate,DC,6716 Wishing Pioneer Thicket,20020.0,7,Fan Shop,38.8549614,-76.96936035,LATAM,San Miguelito,Panamá,10001,25.99,0.13,49.98,-2.65,4,199.92,173.93,-460.92,Central America,Panamá,CLOSED,O'Brien Men's Neoprene Life Vest,49.98,First Class
PAYMENT,2,2,23.04,383.98,Shipping on time,0,45,Fishing,Caguas,Puerto Rico,Michael,5936,Davis,Corporate,PR,5271 Quaking Deer Bend,725.0,7,Fan Shop,18.29506111,-66.37051392,Pacific Asia,Bagdad,Irak,5936,16.0,0.04,399.98,0.06,1,399.98,383.98,23.04,West Asia,Bagdad,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Second Class
TRANSFER,3,4,92.23,224.96,Shipping canceled,0,17,Cleats,Caguas,Puerto Rico,Mary,12149,Smith,Corporate,PR,5814 Merry Prairie Stead,725.0,4,Apparel,18.2014904,-66.37049866,Europe,Sesto San Giovanni,Italia,12149,74.99,0.25,59.99,0.41,5,299.95,224.96,92.23,Southern Europe,Lombardía,SUSPECTED_FRAUD,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
DEBIT,4,4,40.56,124.79,Shipping on time,0,18,Men's Footwear,Caguas,Puerto Rico,Tammy,7506,Smith,Consumer,PR,2792 Stony Range,725.0,4,Apparel,18.25997925,-66.37059784,Europe,Bayonne,Francia,7506,5.2,0.04,129.99,0.33,1,129.99,124.79,40.56,Western Europe,Aquitania-Lemosín-Poitou-Charentes,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class
PAYMENT,5,2,-110.09,299.99,Late delivery,1,45,Fishing,Caguas,Puerto Rico,Victoria,1353,Rocha,Consumer,PR,6135 Silver Oak Gate,725.0,7,Fan Shop,18.25086021,-66.3705368,Pacific Asia,Mosul,Irak,1353,100.0,0.25,399.98,-0.37,1,399.98,299.99,-110.09,West Asia,Nínive,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Second Class
TRANSFER,4,4,16.89,53.97,Shipping on time,0,36,Golf Balls,Hialeah,EE. UU.,Mary,11150,Jones,Corporate,FL,5712 Burning Nook,33016.0,6,Outdoors,25.87439919,-80.33441162,LATAM,Santo Domingo,República Dominicana,11150,6.0,0.1,19.99,0.31,3,59.97,53.97,16.89,Caribbean,Santo Domingo,PENDING,Glove It Women's Mod Oval Golf Glove,19.99,Standard Class
DEBIT,2,4,23.65,181.93,Advance shipping,0,46,Indoor/Outdoor Games,Detroit,EE. UU.,Mary,9175,Rhodes,Corporate,MI,5469 Sunny Oak Bay,48224.0,7,Fan Shop,42.41482544,-82.9394455,LATAM,Saltillo,México,9175,17.99,0.09,49.98,0.13,4,199.92,181.93,23.65,Central America,Coahuila,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
DEBIT,2,1,13.2,29.99,Late delivery,1,29,Shop By Sport,Philadelphia,EE. UU.,John,1770,Avila,Consumer,PA,5835 Thunder Centre,19140.0,5,Golf,39.96031189,-75.23809815,Pacific Asia,Yakarta,Indonesia,1770,10.0,0.25,39.99,0.44,1,39.99,29.99,13.2,Southeast Asia,Yakarta,COMPLETE,Under Armour Girls' Toddler Spine Surge Runni,39.99,First Class
DEBIT,2,1,60.74,161.97,Late delivery,1,17,Cleats,Hendersonville,EE. UU.,Robert,3812,Hayes,Consumer,TN,1510 Silent Inlet,37075.0,4,Apparel,36.29242706,-86.61682892,Europe,Lyon,Francia,3812,18.0,0.1,59.99,0.38,3,179.97,161.97,60.74,Western Europe,Auvernia-Ródano-Alpes,ON_HOLD,Perfect Fitness Perfect Rip Deck,59.99,First Class
DEBIT,3,4,22.5,179.99,Advance shipping,0,48,Water Sports,Caguas,Puerto Rico,Jeffrey,6941,Palmer,Home Office,PR,7910 Cotton Branch Highway,725.0,7,Fan Shop,18.2121563,-66.37058258,Pacific Asia,Estambul,Turquía,6941,20.0,0.1,199.99,0.13,1,199.99,179.99,22.5,West Asia,Estambul,COMPLETE,Pelican Sunstream 100 Kayak,199.99,Standard Class
CASH,5,2,16.56,118.29,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,Mary,10920,Morgan,Home Office,PR,9494 Harvest Turnabout,725.0,4,Apparel,18.24746704,-66.37062073,Pacific Asia,Porirua,Nueva Zelanda,10920,11.7,0.09,129.99,0.14,1,129.99,118.29,16.56,Oceania,Wellington,CLOSED,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Second Class
TRANSFER,4,4,48.57,155.16,Shipping on time,0,29,Shop By Sport,Caguas,Puerto Rico,Sara,2042,Castro,Consumer,PR,8492 Easy Alley,725.0,5,Golf,18.24163818,-66.37059784,Europe,Klagenfurt,Austria,2042,4.8,0.03,39.99,0.31,4,159.96,155.16,48.57,Western Europe,Carintia,PROCESSING,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class
PAYMENT,2,1,-537.57,335.98,Late delivery,1,45,Fishing,Los Angeles,EE. UU.,Mary,5348,Wilson,Corporate,CA,1320 Silver Embers Villas,90032.0,7,Fan Shop,34.03499985,-118.2594681,USCA,San Francisco,Estados Unidos,5348,64.0,0.16,399.98,-1.6,1,399.98,335.98,-537.57,West of USA ,California,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,First Class
DEBIT,5,4,63.33,197.92,Late delivery,1,46,Indoor/Outdoor Games,Caguas,Puerto Rico,Jason,7121,Smith,Consumer,PR,4542 Clear Autumn Canyon,725.0,7,Fan Shop,18.26350021,-66.37059021,LATAM,Limeira,Brasil,7121,2.0,0.01,49.98,0.32,4,199.92,197.92,63.33,South America,São Paulo,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
DEBIT,3,2,39.13,134.95,Late delivery,1,46,Indoor/Outdoor Games,Bronx,EE. UU.,Jerry,7732,Smith,Corporate,NY,8623 Merry Lookout,10456.0,7,Fan Shop,40.83076096,-73.91178131,Pacific Asia,Adelaide,Australia,7732,14.99,0.1,49.98,0.29,3,149.94,134.95,39.13,Oceania,Australia del Sur,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Second Class
PAYMENT,2,1,30.54,145.44,Late delivery,1,46,Indoor/Outdoor Games,Dearborn,EE. UU.,Mary,9058,Ramos,Home Office,MI,7518 Noble Parkway,48126.0,7,Fan Shop,42.32353973,-83.17635346,USCA,Salem,Estados Unidos,9058,4.5,0.03,49.98,0.21,3,149.94,145.44,30.54,South of  USA ,Virginia,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,First Class
DEBIT,4,4,24.94,113.38,Shipping on time,0,17,Cleats,Pico Rivera,EE. UU.,Mary,7378,Medina,Consumer,CA,3327 Pleasant Place,90660.0,4,Apparel,34.00259781,-118.0799789,Europe,Bristol,Reino Unido,7378,6.6,0.06,59.99,0.22,2,119.98,113.38,24.94,Northern Europe,Inglaterra,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
TRANSFER,3,4,41.5,331.98,Shipping canceled,0,45,Fishing,Caguas,Puerto Rico,Nathan,4812,Fritz,Corporate,PR,9794 Fallen Wagon  Front,725.0,7,Fan Shop,18.21392441,-66.3706131,Pacific Asia,Adelaide,Australia,4812,68.0,0.17,399.98,0.13,1,399.98,331.98,41.5,Oceania,Australia del Sur,CANCELED,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class
